Date,HomeTeam,AwayTeam,FTHG,FTAG,AvgH,AvgD,AvgA,Season
2026-04-15,Eltham W,Frankston W,78,70,1.16,,4.46,current
2026-04-12,Bendigo Braves W,Knox W,86,80,3.18,,1.30,current
2026-04-12,Dandenong Rangers W,Eltham W,63,94,9.79,,1.02,current
2026-04-12,Geelong W,Mt. Gambier W,82,87,9.07,,1.03,current
2026-04-12,Keilor Thunder W,Northern Tasmania W,84,69,1.05,,8.38,current
2026-04-12,Melbourne Tigers W,Ballarat W,77,90,5.16,,1.08,current
2026-04-12,Waverley W,Hobart Chargers W,86,76,1.13,,5.11,current
2026-04-11,Casey Cavaliers W,Frankston W,75,69,1.05,,7.30,current
2026-04-11,Kilsyth W,Hobart Chargers W,83,77,1.13,,4.89,current
2026-04-11,Knox W,Dandenong Rangers W,86,66,1.04,,9.05,current
2026-04-11,Ringwood W,Northern Tasmania W,87,69,1.08,,5.86,current
2026-04-10,Diamond Valley W,Sandringham W,84,66,1.48,,2.53,current
2026-04-09,Ringwood W,Eltham W,73,100,2.82,,1.37,current
2026-04-07,Ringwood W,Nunawading W,82,86,3.20,,1.34,current
2026-04-02,Bendigo Braves W,Geelong W,109,65,1.55,,2.32,current
2026-04-02,Kilsyth W,Ringwood W,96,80,1.72,,2.05,current
2026-04-02,Knox W,Casey Cavaliers W,86,82,1.31,,4.21,current
2026-04-02,Sandringham W,Dandenong Rangers W,75,47,1.84,,1.96,current
2026-04-02,Waverley W,Melbourne Tigers W,75,55,1.24,,5.70,current
2026-04-01,Eltham W,Keilor Thunder W,68,44,1.77,,1.98,current
2026-03-29,Ballarat W,Diamond Valley W,74,84,1.62,,2.62,current
2026-03-29,Melbourne Tigers W,Mt. Gambier W,77,95,4.18,,1.17,current
2026-03-29,Waverley W,Sandringham W,60,71,1.49,,2.45,current
2026-03-28,Ballarat W,Bendigo Braves W,97,76,1.84,,1.87,current
2026-03-28,Dandenong Rangers W,Casey Cavaliers W,75,87,1.69,,2.10,current
2026-03-28,Diamond Valley W,Eltham W,103,95,1.12,,5.14,current
2026-03-28,Geelong W,Kilsyth W,71,86,1.10,,5.96,current
2026-03-28,Hobart Chargers W,Frankston W,76,77,8.15,,1.05,current
2026-03-28,Keilor Thunder W,Knox W,79,78,8.45,,1.04,current
2026-03-28,Northern Tasmania W,Nunawading W,82,98,3.18,,1.31,current
2026-03-28,Ringwood W,Mt. Gambier W,76,98,1.44,,2.58,current
2026-03-27,Hobart Chargers W,Nunawading W,67,99,3.72,,1.23,current
2026-03-27,Northern Tasmania W,Frankston W,81,83,4.66,,1.16,current
